中恒工程设计院有限公司,儋州市西培培平小学教学综合楼、学生宿舍食堂项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031507200108,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,排浦春花小学教学综合楼,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031604180102,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市和庆中学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031611280101,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市西联五星小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031611280102,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市和庆镇木排农场子弟学校教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031611280103,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市和庆镇罗便小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031611280104,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市蓝洋第五小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031611280105,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市东成镇长坡中学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031708110114,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市和庆镇美敖小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031708110116,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市西联中心小学学生宿舍食堂项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031708110117,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市和庆镇美敖小学教师周转宿舍楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031708110119,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市那大镇侨植小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031708110121,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市排浦镇春花小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031708110124,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市西流红卫小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031807210001,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
企业名称,项目名称,项目链接,项目属地,项目类别,建设单位
中恒工程设计院有限公司,儋州市西华农场第六小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031807210007,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市兰洋镇番加小学教学综合楼、学生宿舍食堂项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031807210010,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市西华农场第七小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031807250001,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市西流红林小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031807250002,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市白马井山村小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031807250003,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市白马井镇竹古小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031807250004,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市南丰镇陶江小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031807250005,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市西华农场第五小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031807250006,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市龙山学校学生宿舍楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031807310001,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市西流四行小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031809110002,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市那大镇抱龙小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031809110003,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市大成镇中心学校教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031809110004,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市雅星镇富克小学教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031809110005,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市龙山学校教师宿舍楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031809110015,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,儋州市南辰农场职工子弟学校教学综合楼项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690031809300001,海南省-省直辖县级行政区划,房屋建筑工程,儋州市城市建设投资有限公司
中恒工程设计院有限公司,石梅湾旅游度假区西岭公园项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690061601200101,海南省-省直辖县级行政区划,房屋建筑工程,海南华润石梅湾旅游开发有限公司
中恒工程设计院有限公司,奉节县乡镇二三级污水管网（三期）设计（北岸片区),http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/5002361706130201,重庆市-县-奉节县,市政工程,重庆奉节城市建设有限公司
中恒工程设计院有限公司,奉节县乡镇二三级污水管网（三期）平安乡和平村项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/5002361803140201,重庆市-县-奉节县,市政工程,重庆奉节城市建设有限公司
中恒工程设计院有限公司,奉节县乡镇二三级污水管网（三期）平安乡双店村项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/5002361803140202,重庆市-县-奉节县,市政工程,重庆奉节城市建设有限公司
中恒工程设计院有限公司,“滨江奥斯卡”房地产开发项目配套给水管网工程,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/5100011412170202,四川省,市政工程,雅安城市建设投资开发有限公司
中恒工程设计院有限公司,北京大学成都附属实验小学校绿化工程设计,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/5101011301309901,四川省-成都市,其他,
中恒工程设计院有限公司,成都市金牛区茶店子公园工程,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/5101061712220215,四川省-成都市-金牛区,市政工程,成都市金牛区城建投资有限公司
中恒工程设计院有限公司,长庆西一路、子星路、花照壁上横街配套道路工程道路、交通、排水、电力、照明工程,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/5101061808160268,四川省-成都市-金牛区,市政工程,成都市鑫金资产投资经营有限公司
中恒工程设计院有限公司,武侯区永顺路工程施工,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/5101071711050201,四川省-成都市-武侯区,市政工程,成都市武侯区交通与市政设施管理局
中恒工程设计院有限公司,沙河景观健康步道建设工程,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/5101081706300203,四川省-成都市-成华区,市政工程,成都市成华区统一建设办公室
